,is_esl_wudc2017,wudc2017_avg,eudc2016_avg,is_esl_eudc2016,oxiv2016_avg,is_esl_oxiv2016,is_esl_camiv2016,camiv2016_avg
Subra Nara,0.0,77.1,,,,,,
Surya Kumaravel,0.0,80.1,77.8,0.0,,,0.0,78.4
Susan Win,,,73.2,0.0,,,,
Susanna Ulinski,,,71.4,1.0,,,1.0,74.0
Susanna Vahtramäe,,,,,,,1.0,76.6
Swish/Manu Goswami,,,,,77.4,0.0,0.0,79.0
Syarif Fakhri,1.0,80.2,,,77.6,1.0,1.0,77.4
Syed Abbas Shah,0.0,76.1,,,,,0.0,74.6
Syed Kasim Masood,1.0,74.2,,,,,,
Syed Razee,1.0,78.4,,,,,,
THOMAS REDGRAVE,,,,,,,0.0,74.8
Taha Masud,0.0,78.6,,,,,,
Tal Mendelson,1.0,79.1,79.6,1.0,,,,
Talha Wani,1.0,74.7,,,,,,
Talia Teplinsky,0.0,77.8,77.3,0.0,,,,
Tamane Sasaki,1.0,75.1,,,,,,
Tamara Jenkin,0.0,78.7,,,,,,
Tania Pataia,1.0,72.0,,,,,,
Tanner Long,0.0,76.1,,,,,,
Tanner Terry,0.0,77.1,,,,,,
Tara Bansal,0.0,79.2,,,75.4,0.0,,
Tara Murphy,,,74.1,0.0,,,,
Tatsuya Shirai,1.0,69.4,,,,,,
Taylan Alpkaya,,,72.6,1.0,,,,
Taylor Murray,0.0,75.6,,,,,,
Teck Wei Tan,0.0,83.2,,,,,0.0,83.4
Tejaswini Krishnaprasad,0.0,77.1,,,77.4,0.0,0.0,76.6
Teodora Rešetar,1.0,77.0,,,,,,
Teodora Stolevska,,,75.4,1.0,,,,
Tereza Gajdova,,,73.8,1.0,,,,
Tessa Holtzman,0.0,78.7,,,,,0.0,78.4
Thaleia Panopoulou,,,72.6,1.0,,,,
Theodora Von Arnim,,,,,81.6,0.0,,
Theodoros Ntounias,,,74.9,1.0,,,,
Thomas Goldie,0.0,80.6,,,,,,
Thomas Klein,,,,,72.4,0.0,,
Thomas Maybach,1.0,71.4,70.8,1.0,,,1.0,72.0
Thomas Parnell,0.0,80.4,,,,,,
Thomas Simpson,,,82.8,0.0,,,,
Thomas Wong,0.0,77.8,,,,,,
Thomas Yates,,,,,74.4,0.0,,
Tim Asimakis,0.0,81.4,,,,,,
Tim Luciano,0.0,79.6,,,,,0.0,75.8
Tim Squirrell,,,80.6,0.0,,,0.0,78.6
Timo Reinders,,,74.4,1.0,,,,
Timothy Byram,,,,,74.0,0.0,,
Tin Puljić,,,76.6,1.0,,,,
Tina Rudolph,,,73.2,1.0,,,,
Titian Gohl,,,72.8,1.0,,,,
Toby Tricks,0.0,82.6,80.8,0.0,,,0.0,83.2
Tolga Bayrak,1.0,73.9,70.3,1.0,,,,
Tom Geukemeijer,1.0,74.4,,,,,,
Tom Manor,1.0,79.6,79.0,1.0,,,1.0,79.2
Tom Ohtsuka,1.0,74.0,,,,,,
Tom Pouw,1.0,74.6,75.2,1.0,,,,
Tom Redgrave,0.0,74.7,,,,,,
Tomas Kessl,1.0,76.8,,,,,,
Tomislav Grgurev,1.0,73.6,,,,,,
Tommy Peto,0.0,83.3,,,,,0.0,83.0
Tomoko Yagasaki,1.0,75.0,,,,,,
Toni Mathers,0.0,77.2,,,,,,
Torunn Sørlie,,,75.8,1.0,,,,
Trevor Colliton,0.0,76.4,,,,,,
Tunca Bozkurt,,,69.3,1.0,,,,
Tyler Whitney,0.0,74.0,,,,,,
Urszula Małecka,,,75.9,1.0,,,,
Usman Tanveer Malik,0.0,78.6,,,,,,
Valerie Tierney,,,,,76.4,0.0,,
Valeriia Atamanova,,,72.0,1.0,,,,
Valtteri Walldén,0.0,75.0,75.2,0.0,,,,
Vanessa Ndakengerwa,,,76.6,0.0,75.4,0.0,,
Vanshaj Jain,0.0,80.7,,,,,,
Varia Ostrovscky,1.0,75.9,76.9,1.0,,,,
Vassilis Gkoumas,,,,,76.0,1.0,,
Vehbi Sarıkaya,,,71.2,1.0,,,,
Venu Katta,0.0,80.4,,,,,,
Vera Bartsch,,,75.9,1.0,,,,
Verónica Araceli Lira Ortiz,1.0,74.7,,,,,,
Vic Zommer (t),,,,,,,1.0,68.8
Vikki Perijainen,,,,,,,1.0,76.6
Vinicius Maerschner Bremer,1.0,76.3,75.7,1.0,77.4,1.0,1.0,74.0
Vinodhan Kuppusamy,1.0,77.8,,,75.8,1.0,1.0,77.4
Violet Tinnion,,,,,78.4,0.0,,
Virat Chopra,0.0,77.6,,,,,,
Viruben Nandakumar,0.0,73.2,,,75.6,0.0,0.0,71.0
Vitalii Grib,,,75.1,1.0,,,,
Wei Rujia,1.0,74.6,,,,,,
Wei Sheng Neo,,,,,77.2,0.0,,
Weronika Mincewicz - Podrecka,,,76.1,1.0,,,,
Whitney Nosakhare,,,73.7,1.0,,,,
Wieda Daesy Prameswari,1.0,76.4,,,,,,
Will Meyer,0.0,78.3,,,77.4,0.0,,
Willem Chua,1.0,78.0,,,,,,
Willem Wilken,1.0,77.8,,,,,,
William Berthelot,0.0,79.0,,,,,,
William Maidment,0.0,78.9,,,,,,
Wladislaw Jachtchenko,,,77.1,1.0,77.8,1.0,1.0,78.0
Xavier Sottile,0.0,79.3,,,,,,
Xenia Burghelea,1.0,75.9,74.3,1.0,,,1.0,76.8
Xinyue Wei,1.0,77.6,,,,,,
Yaar Bach,1.0,76.4,77.8,1.0,,,,
Yarden Enacab,,,74.8,1.0,,,,
Yasin Shafi,1.0,76.8,,,,,,
Ybo Buruma,,,78.6,1.0,,,,
Ye Ding,1.0,72.3,,,,,,
Yee Chun Cheng,1.0,75.4,,,,,,
Yelyzaveta Bordunova,,,68.4,1.0,,,,
Yemi Ogoundele,,,,,72.6,1.0,,
Yi Dong,1.0,73.3,,,,,,
Yimin Ge,,,75.0,0.0,,,,
Ying Ying Seah,,,76.6,0.0,,,,
Yingjun Wei,1.0,73.3,,,,,,
Yohei Inoue,1.0,71.0,,,,,,
Yolanda Gonzalez,1.0,71.3,,,,,,
Yoni Erez,,,75.4,0.0,,,,
Yosephine Gita Asaria Hutauruk,1.0,74.4,,,,,,
Yosifebi Ramadhani,1.0,74.2,,,,,,
Yuji Masumura,1.0,68.8,,,,,,
Yuki Kono,1.0,69.3,,,,,,
Yuliyana Georgieva,,,69.7,1.0,,,,
Yuna Wang,,,74.4,0.0,,,,
ZHANG Bo wen,1.0,70.8,,,,,,
Zachary Lemonides,0.0,75.1,,,,,,
Zeno Glastra van Loon,1.0,74.1,,,,,,
Zeynep Arat,,,67.7,1.0,,,,
Zhen Huang,0.0,80.6,,,,,0.0,80.8
Zhengqi Zhu,1.0,75.3,,,,,,
Zhixuan Wang,,,,,71.0,1.0,,
Zoe Brown,0.0,80.2,,,,,,
Zoe Morgan,0.0,77.9,,,,,,
Zoe Sandle,1.0,75.4,,,,,,
Zoe Seaman-Grant,0.0,81.3,,,,,0.0,81.2
Zola Valashiya,0.0,75.9,,,,,,
Zoran Fijavž,,,74.2,1.0,,,,
Zulfaqqar Asyraf bin Marzuki,0.0,70.9,,,,,,
Zvonimir Kuzmanic,1.0,73.3,,,,,,
itay __Nourian,,,73.1,1.0,,,,
jihyeon bae,1.0,74.6,,,,,,
kasumi Nogawa,1.0,73.9,,,,,,
louis honee,1.0,75.2,,,,,,
sibulele ngozi,0.0,70.9,,,,,,
Álvaro Ortega,1.0,71.7,,,,,,
Đorđe Jovićević,1.0,79.7,,,80.0,1.0,1.0,79.0
İhsan Can Argon,,,72.1,1.0,,,,
Łukasz Bartoszcze,1.0,73.8,73.3,1.0,,,,
Žygimantas Marcinkevičius,,,,,,,0.0,70.2
